title,review
Kamisama Hajimemashita,"As a fan of shoujo anime, I obviously HAD to watch Kamisama Hajimemashita! And it didnt't disappoint me, I had fun watching it. But to be honest it wasn't the best anime ever.Art/Animation (6/10)Nothing too crazy, the art style is pretty (nothing out of the ordinary though) and I like the character designs, especially Tomoe and Kurama are really pretty and unique characters.Sound (8/10)Reallllyyy love the OP and the ED, they're so catchy! The OP got added to my Spotify playlist immediately.Story (7/10)The premise of the anime is interesting and cute, it's definitely something different than the usual shoujo anime. I liked that it's about...Japanese mythology and found that interesting and fun to watch! But the story line itself is kind of forgettable. I enjoyed it and it didn't get boring, but I won't remember much about the story line after a month or two unfortunately.Characters (7/10)Kamisama Hajimemashita got a few fun characters that make a great cast for an anime. Tomoe, Mizuki and Kurama are fun to watch, I enjoyed them a lot. Though I think the female MC, Nanami, could've been a bit more interesting. I liked her, she was cute, but at the end of the day she was your ordinary (kind of boring?) shoujo main character, and I think that she was underdeveloped as a character. She's got much more potential than what was presented in the anime!Overall (7/10)If you like shoujo anime I'm sure you will enjoy Kamisama Hajimemashita! It's a cute and short show with an adorable cast and it's fun to watch. But it isn't that special, and kind of forgettable after you've finished it. It doesn't realllly stand out from the other shoujo anime, except in the aspect that it revolves around Japanese mythology."
Conception,"This show is overhated, this is no more degenerate than something like Shield hero. Go into looking for some laughs and it is worthwhille.The plot is dumb for the most part but it makes up for it with the pacing. The last episode is the only boring one. Most of the characters are entertaining and there are none that are awful, Animation is fine, except for some of the fights but they are done quickly.Some jokes are quite funny, other times the show is so bad that it's hilarious. Embrace the cringe the way Eminence in shadow does."
Kage no Jitsuryokusha ni Naritakute! 2nd Season,Eminence is Shadow has started off with a really good first season it had a lot of interesting things going on with the mc being very good. What doesn't land as good in S2 is that it's basically more of the same deal the finale doesn't hit as hard neither does it's arcs outside of one particular one with the money.Due to lack of character development Cid is basically the same I had expectations that something will click with him but it didn't still doing the same things over and over again. The other characters mainly the girls mostly stayed the same Delta being...the most interesting one of the bunch the episodes she was featured in were genuinely the better parts of season 2 which isn't a lot the show is filled with tons of characters most of them are only staying for like 1 episode and dies in the next one.The ending did set up a potential for the movie to be fantastic an unexpected twist happens to the world which could be the potential to introduce character development which leads all the way back to S1 start.Tldr: An Okay watch decent action scenes okayish comedy but Season 1 did these things better
Girls & Panzer,"What an absolute joy this anime was! I love it when series present a simple premise and just execute it to the best of their abilities and this is a perfect example of that. It tells you exactly what it is from the title - cute girls and awesome tanks. You know exactly what you want it to be and that's exactly what it is.This anime really has that 80s action movie charm of having a simple and straightforward story that is nonetheless engaging all throughout. Really, it's not anything you haven't seen before, but it doesn't need to be. The story is easy to...follow and the characters are all super charismatic and loveable. With the bare minimum of backstory on them (you get more than that of course), you're already invested in them and rooting for their success by episode 2. There's conflict, tension and excitement and there are many satisfying character arcs that get resolved by the end. There's some surprisingly interesting worldbuilding too, like with all the tankery tournaments and the fact that the schools are all on massive floating cities built on top of aircraft carriers. How do you even come up with this shit? I love it! The pacing is also great and the anime doesn't overstay its welcome. I wouldn't have minded if it went on longer, but hey, that's what the sequels are for. This season I feel was the perfect length and it told its story perfectly within the standard 12 episodes. The fact that this is an original tale and not an adaptation definitely helped too.The tanks first of all are of course represented flawlessly and are all legitimate historically accurate models. This cute and fun story is so well crafted, it can actually trick the average person into accidentally learning a thing or two about all these tanks and what it was really like to operate them. I am both proud and ashamed that thanks to the ungodly amount of hours I have in World of Tanks, I recognized most of them. Hell, I've even owned most of them at some point. The tanktakus out there will definitely be satisfied and will blissfully dream of real women that understand this stuff to the same levels as the girls in here.The star of the show by far is the action though. Honestly, I didn't expect this anime to be as action packed as it is, but damn am I happy from what we got. While some watchers may flinch at the mention of CGI in anime, especially from the time when this came out, here the use is perfectly implemented. The battles are fast paced, tactical and thoroughly exciting. The use of realistic military strategy mixed with just the healthy dose of anime absurdity. It's an absolute spectacle of explosions and steel crashing against steel that is just the type of controlled chaos you expect on the battlefield. The way the girls operate their vehicles also gives it this mecha anime style feel of military strategy juxtaposed with shonen power of friendship malarkey. The way the CGI is handled also gives it an almost Initial D style edge of the fast vehicular mayhem. It's positively glorious. I never dreamed I would see tank battles this good in an anime but I am just overjoyed I did.On a purely technical level, the anime is perfectly executed too. Great, vibrant visuals that contrast the colourful high school life with  the gritty military vibe fantastically. The animation is smooth and expressive, the music is great with all the energetic war marches (although I would've have minded some eurobeat during some fight scenes) and the voice acting is superb. They really did their best. I can't think of a single thing that could be done different to make this better.Overall, Girls & Panzer is exactly what it needed to be. It's action packed and those scenes are done to a superb level. The story is simple, but always engaging and all of this makes for a very easy and entertaining watch. You'll never be bored and the show will keep you hooked from beginning to end, without taxing your mind with unnecessary bullshit. This isn't some deep philosophical quandary about war or society and it doesn't need to be. It's cute girls in tanks fighting for honour, valour and pride. The creators knew what you wanted and they delivered on every front. Their main goal was to entertain and to that end they passed with flying colours. The only downside I can mention is that this might make me want to install World of Tanks again."
The Fable,"Right, this'll be a bit of a weird one, but I'll do my best to put into words how I feel about this show. In short though, it was a really fun anime that got better and better as it went on. Nonetheless, it has some issues. Here we go.Let's just get some of the obvious stuff out of the way. The animation for this series was just not there. All the characters looked plain and uninspired, the posing and movement was stiff and lifeless, lots of reused scenes and no visual flare to speak of. A lot of times, characters lacked expression too, which...is very important in a thriller. Seriously, it feels like for the most part, they did the absolute bare minimum to get the point across. So expect a lot of by the numbers shot-reverse shot dialogue sections, lots of still frames and minimal movement outside of action scenes. The studio can be damn thankful that the story is more than good enough to make this worthwhile and that the music and especially the voice acting did A LOT of heavy lifting to make this come together. Trust me, were this a lesser story, this anime would've been relegated to a dustbin right away.Right, let's get into the good stuff though. The Fable is another awesome entry in the growing genre of ""former Yakuza/hitman tries to live a normal life, but his past keeps catching up to him"" alongside other series like Gokushufudou or Sakamoto Days. It's also great how, despite sounding very similar on paper, all of them have a very different approach to their story and are very distinct from one another and any other series out there. The Fable is absolutely brilliant in the way that it manages to balance comedy, action and tension. There's lots of jokes and many scenes got a good laugh out of me. Despite this, it also weaves a fantastic yakuza crime thriller in there too and both aspects only serve to enhance each other. It's a very delicate task to try and make your audience laugh, while also consistently keeping them on their toes at all times but dammit, it works! The fight scenes are also handled very uniquely, without prolonged exchanges of blows but instead were these physical games of chess, focused on very cerebral decision making between highly intelligent characters. Without gratuitous inner monologues, we get battles of wit punctuated by lighting fast John Wick-style showdowns. In a battle of professional assassins, the outcome can be decided in the blink of an eye, so every moment counts.This brings us to another of the core strengths - the characters. It's often a slippery slope and quite hit or miss when anime try to have highly intelligent characters. However here, this is done wonderfully. Characters who are meant to be clever actually feel that way and the decisions they make are logical and creative. The outsmarting going on is very engaging and adds to the great sense of anticipation during every direct conflict. The way Fable also uses his genius in his field to handle every situation while keeping his promise not to kill anyone is thoroughly fascinating. Beyond conflict though, the characters are also all very charismatic, engaging and interesting. All of them have depth and a mixture of realistic, believable flaws, all sprinkled with just the right amount of exaggerated absurdity to make them slot right in with the overall comedic tone of the story. They absolutely steal the show and this makes this overall very dialogue heavy series never drag or feel dull and as I said earlier, the fantastic voice acting carries a lot of the weight in order to make the whole experience come together well. I mean, both Kenjiro Tsuda and Takehito Koyasu showed up, so we've checked all the boxes of making a proper yakuza thriller.Overall, I enjoyed what I saw from this anime, but there were definitely glaring flaws. The story is excellent and unique and the characters are easily the greatest thing about it, but I can't lie, the really cheap visuals detracts greatly from the experience. The stiff and janky animation makes the emotional scenes less impactful than they should be and the dull, generic, bright colour palette used detracts from the cool neo-noir atmosphere that I feel befits this kind of story. Were this tale less exciting than it was, this anime would've been given no more than a 5 on here and it would've been swiftly forgotten about.My final verdict is that this is still an enjoyable experience overall and still worth a watch, but I'll definitely be deferring to the superior manga for the full story. If and when this gets greenlit for a second season, I would very much rather a different more passionate studio be given the job.TLDR: Божката пука/10"
Chi. Chikyuu no Undou ni Tsuite,"Extremely boring for anyone who isn’t an armchair intellectual. Look at the other reviews, bunch of turbo nerds. It’s just like those super low budget historical reenactments that you get in high school history in anime form.For real tho, it’s a historical drama with very little “action”. If you find the subject of christianity vs science to be unbelievably boring (like me because I learned more than enough about the subject in school) and you can’t care about characters that only exist for 10-20 mins, then this show will probably be very boring to you too. The story, characters, and art are top tier, but...I couldn’t possibly care less about the story, characters or the “think about this” dialogue lol.If you really like the origin of astronomy subject then this show will probably be 10/10 to you. If you want a similar show with a far more interesting story (imo) watch Monster or Pluto.I’ve fallen asleep while watching TV 3 times in my life and 2/3 times were while watching this show. I have to put it under the “impressively boring” category. Maybe I just have the wrong mindset, but I really tried."
2.5-jigen no Ririsa,"At this point in the series, I can say I have honestly enjoyed this one!It’s just a fun wholesome watch! I know that it is quite different to the manga (and don’t get me wrong, I have no issue with nudity in anime, I’ve seen some weird shit) but I genuinely think the anime has more substance and although it’s not the most AMAZING thing ever…As someone who has almost 600 separate entries on this site (I’ve seen a lot), it’s been a fun watch.I will also say the second half of the series has had a pretty good storyline that almost made me tear...up a bit!I won’t spoil anything but I genuinely think if you separate the manga and anime, you can enjoy this.It’s kinda like how FMA 2003 is good on it’s own if you don’t use the manga as a comparison point.Just my take! Watch this if you’re looking for a wholesome story full of dumb otaku culture!"
Karasu wa Aruji wo Erabanai,"I dove into this series with the hope of being swept away, and while it wasn’t a perfect journey, it turned out to be a worthwhile experience. The show offers consistent animation, an intriguing cast of characters, and a tightly-knit group of protagonists. The themes of brotherhood and the ever-present schemes threatening the ambitions of the prince, reminded me of Kingdom.This isn’t your typical action-packed anime. Instead, it leans heavily on dialogue and fair 'strategic' interplay. For me, this approach worked just fine, as I sometimes enjoy anime that prioritize thought over spectacle.However, my only qualm was the presence of Asebi. Her character, with her...lack of depth beyond ""innocence,"" became increasingly exhausting for someone, who values pragmatism in 'this kind of story'. I sighed so much at her presence, I was eventually forced to step away from the series midway through. That said, I recognize this as a personal quirk; and maybe others may appreciate her more than I did.It’s worth noting that I didn’t finish the show, but I did watch enough to form a well-rounded opinion. While it wasn’t entirely for me, the show is undeniably well-written and deserves a chance, especially for people who prefer dialogue-heavy anime.If that sounds like your cup of tea, you might just find yourself thoroughly captivated."
Genocyber,"Going into this, I expected a hyperviolent gore fest. The kind where you can turn your brain off and enjoy some good ol' '90s edginess. What I got instead was a confusing mess of utter nonsense. There is some of that touted gore and violence (which, if you don't like, you shouldn't be watching a series like this in the first place, getting offended is on you) but honestly, the rest of the show is just... boring. The ending leaves no satisfaction at all either, so you don't even feel like sticking it out for all five episodes is worth it. It fails on just...about every selling point it was supposed to have (though MAYBE you could argue the first ep or two make some promises, the rest of the show completely fails to deliver). The violence and gore was surprisingly sparse despite the show's reputation though I do admit, its few scenes are somewhat shocking but that doesn't carry the show at all.Honestly, I'd avoid this and go look for your gore and violence fix from something more competently put together. Supposedly, the OVA was cut short in development but I don't think more episodes would have saved it much, since the existing ones were so damn boring. I do not know why I bothered finishing it and I implore you to find something else that's actually worth watching."
"Hachi-nan tte, Sore wa Nai deshou!","enter the ranks of the best isekai anime, why?+ Isekai, comedy, harem, overpowered MC+ born from poor nobles+ build magic power and adventure+ achieve and get titles and gifts from the kingdomseeing people's reactions to the achievements of the MC is satisfying for me. getting a noble title, pursuing a career in the nobility, to becoming the best. managing the territory.the drawback of this anime is the very bad fighting scenes, that's what made me give it an 8 out of 10, if the fighting scenes were there and good maybe I would give it a higher score, maybe the cause is the MC who...is not very good at physical strength.I'm really looking forward to the latest season, I got a little story spoiler that the MC will be even better and get many wives, so I can't wait for it."
Tondemo Skill de Isekai Hourou Meshi,"one of my favorite isekai anime, the story is light, and always makes me hungry when watching it. the point is this is a cooking and eating anime in another world.indeed the MC is not too overpowered, but the character development is very impressive, the story is very funny and relaxed, very enjoyable to watch.her online shopping skills are very suitable for a relaxed life in isekai, this kind of relaxed story is what I like, especially seeing people's reactions to the results of the MC's team's hunt, it always makes me happy. I hope there will be more anime like this, like the nonbiri...isekai anime.I give it a 9/10. maybe later I'll give it 10/10 when the second season airs."
Tensei Kizoku no Isekai Boukenroku: Jichou wo Shiranai Kamigami no Shito,"one of the best Isekai anime:+ MC Overpower+ Harem+ Comedy+ Light StoryThe disadvantages of this anime are:- Season 2 has not been released (whether there is a continuation of the story or not) I don't know.the story of a kind young man, who entered isekai with the blessing of the gods, pursued a career as a nobleman, had an adventure, surprised everyone with his strength (I like this) seeing people's reactions about how great the MC's strength is. the point is, I highly recommend this anime, for you guys don't hesitate to watch this anime.I give a score of 9/10 for this anime, if there...is a continuation of the new season, I will definitely give it 10/10."
Isekai Cheat Magician,"This is a trash isekai anime. 2 trash people enter a trash isekai, and become trash there too, resulting in this very trash story.From here it is clear, right, that I really do not recommend this trash anime. I really regret watching 12 episodes of this anime. I thought in the first episode the story would be good, but I was a bit hesitant seeing the rating and also the reviews of this anime, until the next few episodes it turned out that this was indeed a trash anime. It's true what they say about this trash anime.If you still love your life, if you...still want to keep your virginity, you shouldn't watch this anime. You have to take care of your eye health and your mental health."
Isekai Meikyuu de Harem wo,"reasons why you should watch this anime:1. Uncensored Adult Content2. Harem Story in Isekai3. Overpower MCYes, those are some of the things I mentioned that will make you want to watch this anime. Maybe other people think this anime is trash, but for me this anime deserves to be included in the ranks of masterpiece anime, maybe if there is a continuation of the new season I will give it a score of 10.(slight spoiler) this is the story of someone who enters an isekai themed Game, the setting of the story is like most anime, namely in medieval Europe, the goal of the MC...himself is to live a relaxed and happy life in his new world, and collect many women to build his harem story. That's all, the story is simple but interesting to follow.I warn you to watch this anime alone and use a headset. Seriously, don't watch this anime with your family members. Hehe"
One Punch Man,"who doesn't know this bald guy, Saitama, you know maybe most people prefer to call this anime title Saitama rather than OnePunchMan.for now I give a score of 9 first because the anime hasn't released a new season for a long time. moreover for the story I'm also a bit annoyed because the strength of the main character has not been shown to many people. so there are still many who underestimate Saitama. that's what makes me upset (maybe this is a little spoiler). honestly, I don't want to read the manga, because it will reduce the enjoyment of watching the anime.does anyone agree that...Saitama is the strongest creature in the anime universe? do you also agree that Saitama is very suitable for Fubuki? hehe just kidding. but I'm serious, Saitama x Fubuki in the story will make me give a score of 10/10.. lastly I hope that the new season of this anime will be released soon."
Kanojo mo Kanojo,"in my opinion this is one of the best romantic comedy anime, of course because Harem is the main attraction, the MC is fought over by 4 (maybe more) girlfriends.I highly recommend this series, especially for those of you who want to have 4 girlfriends in your life, various romantic comedy dramas are in this anime, and of course the Fanservice, lots of perverted things are presented here. I'm sure you'll like it.(I don't want to give spoilers about the storyline) but for waifu (my favorite girl) is first, Shino, then Nagisa then Rika and Saki. while our favorite MC Naoya is very suitable to...be voiced by Enoki Junya, his voice character is very suitable for a funny MC with a romantic comedy.finally, I give a score of 100 out of 10 for this anime because it really exceeds my expectations, especially for the next season, I hope for more and more."
"Tearmoon Teikoku Monogatari: Dantoudai kara Hajimaru, Hime no Tensei Gyakuten Story","Recommended for those who like transmigration/rebirth type anime, this one FL travels back to a few years before her tragic death at the guillotine. It wasn't amazing, but I liked it more than I thought it would. But then again as many other similar animes, you can only truly enjoy this when you don't try to think about the details of the plot - e.g. why the heck does a 12/14 yr old princess have the power to make so many important decisions?Nonetheless, I like that FL's love-interest isn't the obvious perfect Prince Sion, it's actually the not-so-perfect but super adorable Prince Abel. That...alone got me interested enough to watch the entire anime series. So we've got an FL that appears to be super smart and wise to everyone, but she's actually just planning how to not get her own head chopped off. But FL isn't selfish, she does have a good heart and treasures her current life. It's just hilarious how the basis of her being the wisdom of her empire, is literally cuz she's surrounded by either overthinkers and genius people.It's a cute anime overall, great to watch for some relaxation and laughs."
Little Busters!,"Jun Maeda has done it again! He's created another story of youth and strong feelings that will tug at your heartstrings.I'd give it a solid 7.5! The story is really lovely. It might feel a little empty at first, but that's just because you're waiting for the characters to get along! And as you watch, you'll find yourself wanting to keep watching to see how it all plays out.The soundtrack is just perfect for the anime! It has that youthful drama vibe that really delivers what the anime needs. I just have to say, Daamae did a truly amazing job!I'm a huge fan of Jun...Maeda, and I love that he was part of the team as a composer in the creation of this anime. He also wrote the original story for the visual novel game, which I think is really cool.It's so great that I can watch another one of his anime with a soundtrack he created!I'd give it an 8 out of 10 just for the sheer joy of seeing the characters' expressions and listening to the music. Naga was and still is working on the design of the characters for the Daamae characters, which was really helpful. But honestly, he can draw the most perfect expressions for each character! The J.C. Staff studio also had the best animators who delivered the same lines to Naga. That's what I call professional!Conclusion: I recommend this anime. It's not for adults, but it's very nice. The creator is Jun Maeda. He likes to write about young characters. This is a story I recommend watching unless you're looking for something more adult.Just a quick additional note: the creator of this anime is Jun Maeda (as I said before), and he only creates stories with young characters to show how exciting and remarkable youth can be. That's why I said earlier that UNLESS you're looking for a Seinen Anime, this is definitely a story I recommend watching!"
Suzume no Tojimari,"The recent works of Makoto Shinkai can be described with two words: mediocre and conformist. He continues to recycle the same formulas that brought him success with Your Name, to the point where it seems he believes he cannot achieve success without creating something strikingly similar to his most notable work. In this film, he consistently reuses the fundamental elements from Your Name, merely placing them in a slightly different context with characters who, at their core, remain remarkably similar.In this regard, it can be argued, not just based on Your Name but also on his earlier works, that he appears incapable of creating distinct...types of characters. Nearly all his characters exhibit similar behaviors, conform to the same stereotypes, and engage in romantic and personal relationships that are virtually identical in nature.More specifically, the characters in this story feel particularly shallow. Secondary characters often act in ways that are blatantly convenient, serving only to advance the plot or benefit the protagonists and their relationship. Certain characters even completely abandon their initial goals or beliefs to achieve this purpose, creating a rather cheap and forced sense of drama in the process. Furthermore, the animistic or pantheistic portrayal of nature as a major source of trouble, a recurring theme in Shinkai's works, feels overused and, at this point, renders his narratives bland and lacking in depth. The same can also be said about his tendency to incorporate time-travel elements into his works, even if they make little or no sense in the context of the story presented (something that happens in Suzume).That said, the film offers an odd viewing experience. Despite its flaws, it can occasionally be entertaining, though at other times it feels overly long and quite childish. However, as with all Makoto Shinkai films, the visual and musical aspects are impeccable (almost hypnotic, I’d say) featuring beautiful, fluid designs for the world and its characters.In conclusion, although I did not enjoy the film and believe it could have been much better, I can understand why some people might find it appealing. I might recommend it to someone with two hours to spare and no better options than watching a rather melodramatic film."
Kaijuu 8-gou,"Good watch.At first it feels a little corny - just another powerless MC that turns into a monster and suddenly is super strong, and since he's the main protagonist - he is the hero of the show, the protector of humanity. No big deal. The catchy point is that other supporting characters also seem to have some more developed backgrounds, some of which were not fully mentioned in the anime yet.If you're a fan of cool looking fights, MCs always saving the day, etc. - then this is just the anime for you!If you're a fan of suspense - give it a full watch! ""Spoiler""...not spoiler, this is obviously just a small part of something bigger, or so it seems. This is a great way to get into the setting of the world as the author shows us the REAL deal (later on in the next season).GREAT MUSIC, not just the opening and ending (which are also great, of course!) but the sfx and mid-fight songs, too!"
Tengoku Daimakyou,"This is one of the greatest anime ever created, thats it.Very rarely do you find an anime story with a concept so captivating, a score so entrancing, characters so interesting and animation so beautiful. IG have really been on the top of their game with banger project after banger project and just like their last few works, they've struck diamond once again.Tengoku daimakyo follows parallel plot lines/events that are differed by timeline, and as you gradually relieve a mysterious past, the onslaught of the present is thrust upon you. The world is so empty yet so alive, the mysteries that you feel you can wrap...your head around are still growing and the characters...The characters steal the show, from snarky remarks, comedic bits to absolutely gut wrenching scenes. I laughed, cheered and cried all while watching this show. Not once did I feel bored, not once did I want to watch something else. The show was absolutely perfect.The mystery however, is only beginning and as the manga moves along and the studio eventually adapts a second season, I WILL BE SEATED !"
91 Days,"this was the first anime that i complete in one set, (the last too).its not that bad of an anime, it just doesnt have a point, for me it just 6 episodes, the first 3 and the last 3, all episodes in between doesnt have any point at all, just there to make the anime 12 episodes, they arent bad, but the they could at least try make it for purpose, not for filling a space, Angelo isnt a bad character neither Nero, but still there is something missing in this show, like knowing more about nero, or angelo's life more than what is shown,...but its not bad in a way that makes you drop it."
07-Ghost,"i dont know what i was thinking in 2021 when i watched this thing, its was just in the first pages cause of ""07"" ,its just bad, i didnt know what is josei genre until now, you can imagine the face when a guy watches a josei anime with weird characters in it and thank you.the story isnt good, the characters arent good. i just liked razzete, nothing else.i wonder even if women would like this thing, would you like somthing like that?, if you are a woman who likes characters for their look, would you like those monstrosity?2/10 because of razzete."
Mecha-ude (TV),"I feel like these days everyone is looking for a masterpiece of animation, art, storytelling, etc. and overlook the shows that are just good. just plain normal good. why do such anime that don't go too deep or far yet still work and are enjoyable get so little praise? this is the same situation for why everyone thinks Demon Slayer is ""mid"", some things just work. even if they don't have that mind-breaking of a premise. in the end, it's just about enjoyment. and that's how I feel about this anime. it's not too long yet it sticks, I like the humor it has and...the characters are fun to watch and follow and I'm in love with the interactions the main cast has. the music is OFC amazing thanks to Sawano san's amazing talent. My biggest problem with this show is that sometimes the pacing is a bit too fast for my taste but it's at most confusing to follow.I think this is the kind of anime where you just gotta flow with it. go to that little kid who was excited to come back home to watch Yugio and Naruto. it has the old-school typical anime feel, which tells of this project's mind-blowing history, it was years in the making, and even if it won't be an amazing story I want to see the vision this staff put so much time and effort to publish."
Murai no Koi,"NOTE:-let me say this first it's not for those who like fast paced things and its also not for those who only sees with eyes but also feels with them ,CREATIVITY next level they use those things that probably anyone in this entire anime industry have ever tried and it fucking works and slaps it even when they have very tight budget.MUSIC for music i have only one thing to say its PERFECT the choices of songs and the main music of murai i have fallen in love 10\10.The CHARACTERS firstly murai my murai is the main char? because he knows how a 17...year boy should act he don't act over smart as his ages they feel like they are real living human beings who are in the same same universe as us plus the the voices match them perfectly.RECOMMENDATION:- I'll definitely 100% very very much recommend this hidden gem if you like to read books and have patience please consider giving it a try.I really want this anime to win any anime awards.Truly a Masterpiece (10\10)"
Mononoke Movie: Karakasa,"So that was fun :)As a big fan of the original series, I went in knowing this would be more of an interpretation rather than a direct continuation, and that mindset really helped me appreciate it for what it was. From the very beginning, it was clear this was a more polished and cinematic take. At one poin at 9:04 I actually gasped. The 3D effects were stunning, and I only wish there had been more scenes like that. It felt fresh and exciting, which I truly appreciated.The level of detail in this film was absolutely insane. However, I did feel the color saturation could...have been toned down a bit, and the pacing sometimes felt a little too abrupt. Scene transitions often happened so quickly that they created an interesting effect, but it lacked the thoughtful timing and flow that made the original series so memorable.The ending delivered in its own way. While it didn’t hit me quite as deeply as some of the original series finales, it was still very satisfying. As a fan of Kusuriuri’s original design, I found the redesign a bit jarring at first. That said, it wasn’t bad by any means just different. I think it helps with distinguishing the movie from the series.One thing I did miss was the calm and chilling atmosphere of the original. That unique vibe was such a hallmark of the series, and its absence here was a bit disappointing. But hey, you can’t have everything.Despite these critiques, I highly recommend watching this film. The artistry is absolutely on point, and it’s a beautiful, imaginative interpretation that’s worth experiencing."
Blue Lock vs. U-20 Japan,"The animation of this season is pretty much non existent. Feels like 5 fps or less. Most of the scenes are just frozen frames with dialogues, and when there's an animation most of the time is just one element on the scene, like the ball or lips moving in a frozen scene.It moves forward with dialogue mostly, you don't see the plays, just see the faces of the characters telling you ""he slip from behind· or something.There's also a very few scenes in which they move like 3D animated and feels weird, they also don't do much in those, move a few steps and such.The...source material is good, so it's still ok, but as an anime does not feel very animated.It's supposed to be one of the big featured anime of the season so it does not live to the hype with this kind of production."
Boku no Tsuma wa Kanjou ga Nai,"Super cute and wholesome! I had a low expectation for the show going in, but I was quickly swept away by the story. Solid 8/10 for this romantic slice of life anime. This is definitely worth the watch.Also, I'm usually the type to watch the intro/outro for a show just once and then skip them afterwards in later episodes. But the outro song for this show was so good and catchy that I just had to listen to it every time.I highly recommend this anime to watch. I binge watched all 12 episodes because I just couldn't stop once I had started."
Blue Lock vs. U-20 Japan,"what a waste, it's frustrating to see this without being able to do anything.i don't think i need to describe the problem here, but i'm going to anyway.we all know that a fanmade could do better, and it's easy to see that it's a mess. the editing is in powerpoint slide format, with colorful drawings on top compared to the manga but no real animation. what's weird is that the best animated moments are the slice-of-life moments. But then, every “epic” scene instantly pulls us out of the immersion. Even at the moment when Rin finds her goal of revenge against her brother...and we understand the outcome, the music gives us a bursting transition I've never seen elsewhere, and I laughed even though this moment was supposed to be poignant. (ep 9)Without reminding us of the previous episodes, where Isagi's only “beautiful” animation is repeated at least 5 times to make it worthwhile. (when a fan could easily do it).It's just sad. It could have been a classic sports anime, but in the end it's become an example of what not to do.i put ""mixed feeling"" because i think it's necessary to see this to understand what's bad. like a kind of sacrifice, what a shame.me who wanted to reconnect with the sport that is football that i hate..."
Tokidoki Bosotto Russia-go de Dereru Tonari no Alya-san,"Gosh it's been a while since I wrote a review, I had a really really big hiatus in anime watching with so much going on in life but I am back and I am happy I am back!I actually started watching this anime in June/July somewhere when it started airing and it really captured my interests and passions. As someone that was isolated and such I have some relation and understanding with Alya... except the part where she has good grades and looks good. This anime has a really great story and I'm also very happy there is going to be a season 2 because...I need more of Alya! As unhinged as Masachika and Yuki can get, they have such a perfect dynamic together but Alya and Masachika definitely win the spot for best pair. The characters all had a pretty good storyline and let us understand each character and their traits. Each episode really got me wanting to watch the next due to the pure suspense they put me in. Ofcourse the anime was really cute as well, the interactions of Alya and Kuze, interactions of Yuki and Kuze and even most of the other interactions were all really cute and fun and add to the story and characters.Honestly if you like rom coms and a little bit of harem themes I think you would really like this anime. Although not blatant in the harem part, it can be seen little by little. I truly believe the story committed to focusing on Kuze and Alya along with their relationships with the people around them. It's a perfect anime if you want to just chill, have a laugh and get some cuteness overload in your system."
Code Geass: Hangyaku no Lelouch R2,"Oh, boy. Just what the hell have I seen today? Code Geass is about rebellion of Lelouch against the Holy Britannia after obtaining a power called Geass (which helps Lelouch to make anyone obey him). Code Geass has almost all the elements that makes a show great. Like great characters, depth, politics and Of Course, THE END. I seriously don't think there is any better Protagonist than LELOUCH. All the characters have some reasons for them to fight, which makes them more senseful and realistic. And it all works together for the end. The show deals with concepts of Rebellion, hatred and Redemption very beautifully....All in all, a great show that no one should miss"
"Sayounara Ryuusei, Konnichiwa Jinsei","Ok hear me outThe anime is generic one but I see it as a refresher or a breather for all the jam-packed action anime for this season, if you want something that is chill, not much of an action but does not keep you bored that much and have sense of humor, like seating on the couch and want to past time and not having an adrenaline rush, by all means watch this but if you are expecting some op moments like danmachi or shadow stuff, I suggest you put this on your list as a breather or if you want to chill and...relax. Other than that, it's not bad"
Dandadan,"Mid, that's the perfect adjective you can give Dandadan. It was praised by the manga fans for being a breath of fresh air, a lot of fun, and a cleverly crafted silly story, but it's nothing of these so far.After the overhyped Kaiju No.8 now we got the overhyped Dandadan. The plot is stupid, it starts with a lifeless otaku getting his willy stolen by a spirit and the femal character been almost r worded by a bunch of aliens. Then they get willy back but...now the balls are lost? Wow, so much fun, for an elementary school student I guess... We also got the...crazy beautiful second female character than does nothing but saying things that makes no sense and wow falls in love with the main character for saving her life, damn crazy fresh writing. And then there is episode 7 (not following the order here lmao), which got praised for being such an emotional episode, while in reality being just a sad backstory for a pointless enemy, even Mid Slayer's first season demon's backstories were more emotional. If you by chance put episode 7 in Death Parade if would be the less emotional and worst crafter backstory of all the characters getting judged...Still, it gets the job done, 20 minutes per week it's not that much of a pain in the ass to bear, decent I'd say.Animations are good for the most part, it got the usual flair of Science Saru but with a more precise drawing style. But...episode 2 and 8 are absolutely awful to look, the cgi is unbearable, and the storyboards are mediocre as well. The opening is peak and the music score does a good job.All and all it's not a bad watch, just don't expect anything that incredible, it's funny something, but for the most part disappointing..."
Sousou no Frieren,"Unpopular opinion:This is one of the most disappointing Anime with such a big hype. I've tried to watch it but dropped it after episode 4. The main Heroine is obviously overpowered since the beginning however she also does lack personality and yet does everyone love her and hype her.The animation is fine and the music is also okay. But the storytelling is slow and everything seems to be repeated.Don't get me wrong, the anime definitely is average however I've just expected more considering it's the No. 1 anime of all time now.I personally can't recommend it to watch for anyone that expects a masterpiece...and who did watched other so much better animes that are lower rated then this one.PS: if you love the anime please don't hate me, this is just my honest opinion <3"
